rank,index,block,field,hashed,mi_score
137,625,strings,string_count_/proc/,False,0.00020058648025655934
138,1205,imports,imports.libraries_hashed[209],True,0.00020074698215144515
139,1075,imports,imports.libraries_hashed[79],True,0.00021177050341680825
140,1194,imports,imports.libraries_hashed[198],True,0.00021221013625538632
141,2421,datadirectories,datadir.GLOBALPTR.size,False,0.000223877308448861
142,2513,pefilewarnings,pewarn:Failed parsing FunctionEntry of UNWIND_INFO at...,False,0.0002633565372882618
143,744,header,optional.dll_characteristics:FORCE_INTEGRITY,False,0.000284711214356026
144,1155,imports,imports.libraries_hashed[159],True,0.0002855424102226056
145,1150,imports,imports.libraries_hashed[154],True,0.00032173298633897396
146,1054,imports,imports.libraries_hashed[58],True,0.00034210409075896564
147,1083,imports,imports.libraries_hashed[87],True,0.0003474780776986375
148,2481,pefilewarnings,pewarn:Bad RVA in relocation data...,False,0.00036671819151146146
149,1209,imports,imports.libraries_hashed[213],True,0.00038721544907560634
150,1738,imports,imports.lib_func_hashed[486],True,0.0003903178600561663
151,861,section,section.vsize_hashed[30],True,0.00042296196652502616
152,986,section,section.entry_name_hashed[5],True,0.00043814615089510234
153,2508,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringTable string...",False,0.00045904264144569495
154,887,section,section.entropy_hashed[6],True,0.0004714408065698006
155,2540,pefilewarnings,pewarn:Resource size...,False,0.0004771339559157539
156,1165,imports,imports.libraries_hashed[169],True,0.00048520011446484546
157,1107,imports,imports.libraries_hashed[111],True,0.000492810065072069
158,1121,imports,imports.libraries_hashed[125],True,0.0005031523691207962
159,1184,imports,imports.libraries_hashed[188],True,0.0005043534428808005
160,2543,pefilewarnings,pewarn:RVA AddressOfFunctions in the export directory points to an invalid...,False,0.0005207825451851722
161,1222,imports,imports.libraries_hashed[226],True,0.000541324845462432
162,1067,imports,imports.libraries_hashed[71],True,0.0005475901071447797
163,1173,imports,imports.libraries_hashed[177],True,0.0005645938889573543
164,1084,imports,imports.libraries_hashed[88],True,0.0005684303682575997
165,1175,imports,imports.libraries_hashed[179],True,0.0005693105160440304
166,672,strings,string_count_mac_addr,False,0.0005951150002927452
167,659,strings,string_count_get,False,0.0006011649220674098
168,926,section,section.entropy_hashed[45],True,0.0006102733612800559
169,1041,imports,imports.libraries_hashed[45],True,0.0006121437291868315
170,1124,imports,imports.libraries_hashed[128],True,0.0006221432523054737
171,1239,imports,imports.libraries_hashed[243],True,0.0006346573672015854
172,1047,imports,imports.libraries_hashed[51],True,0.0006417170496544333
173,1035,imports,imports.libraries_hashed[39],True,0.0006599078231468436
174,2493,pefilewarnings,pewarn:Error parsing the import directory at RVA...,False,0.000676445895158917
175,1042,imports,imports.libraries_hashed[46],True,0.0006837682630846942
176,2498,pefilewarnings,pewarn:Error parsing the resources directory. Excessively nested table depth...,False,0.0006864200557306077
177,1064,imports,imports.libraries_hashed[68],True,0.000689110734845011
