rank,index,block,field,hashed,mean_abs_shap,cluster_id,drop_reason
109,2364,exports,exports.names_hashed[87],True,0,-1,inactive
110,2362,exports,exports.names_hashed[85],True,0,-1,inactive
111,2361,exports,exports.names_hashed[84],True,0,-1,inactive
112,2360,exports,exports.names_hashed[83],True,0,-1,inactive
113,2359,exports,exports.names_hashed[82],True,0,-1,inactive
114,2357,exports,exports.names_hashed[80],True,0,-1,inactive
115,2355,exports,exports.names_hashed[78],True,0,-1,inactive
116,2353,exports,exports.names_hashed[76],True,0,-1,inactive
117,2352,exports,exports.names_hashed[75],True,0,-1,inactive
118,2350,exports,exports.names_hashed[73],True,0,-1,inactive
119,2349,exports,exports.names_hashed[72],True,0,-1,inactive
120,2348,exports,exports.names_hashed[71],True,0,-1,inactive
121,2347,exports,exports.names_hashed[70],True,0,-1,inactive
122,2345,exports,exports.names_hashed[68],True,0,-1,inactive
123,2344,exports,exports.names_hashed[67],True,0,-1,inactive
124,2343,exports,exports.names_hashed[66],True,0,-1,inactive
125,2342,exports,exports.names_hashed[65],True,0,-1,inactive
126,2339,exports,exports.names_hashed[62],True,0,-1,inactive
127,2332,exports,exports.names_hashed[55],True,0,-1,inactive
128,2331,exports,exports.names_hashed[54],True,0,-1,inactive
129,2330,exports,exports.names_hashed[53],True,0,-1,inactive
130,2329,exports,exports.names_hashed[52],True,0,-1,inactive
131,2328,exports,exports.names_hashed[51],True,0,-1,inactive
132,2327,exports,exports.names_hashed[50],True,0,-1,inactive
133,2326,exports,exports.names_hashed[49],True,0,-1,inactive
134,2319,exports,exports.names_hashed[42],True,0,-1,inactive
135,2317,exports,exports.names_hashed[40],True,0,-1,inactive
136,2315,exports,exports.names_hashed[38],True,0,-1,inactive
137,2313,exports,exports.names_hashed[36],True,0,-1,inactive
138,2311,exports,exports.names_hashed[34],True,0,-1,inactive
139,2309,exports,exports.names_hashed[32],True,0,-1,inactive
140,2308,exports,exports.names_hashed[31],True,0,-1,inactive
141,2307,exports,exports.names_hashed[30],True,0,-1,inactive
142,2306,exports,exports.names_hashed[29],True,0,-1,inactive
143,2305,exports,exports.names_hashed[28],True,0,-1,inactive
144,2304,exports,exports.names_hashed[27],True,0,-1,inactive
145,2303,exports,exports.names_hashed[26],True,0,-1,inactive
146,2302,exports,exports.names_hashed[25],True,0,-1,inactive
147,2300,exports,exports.names_hashed[23],True,0,-1,inactive
148,2299,exports,exports.names_hashed[22],True,0,-1,inactive
149,2296,exports,exports.names_hashed[19],True,0,-1,inactive
150,2295,exports,exports.names_hashed[18],True,0,-1,inactive
151,2292,exports,exports.names_hashed[15],True,0,-1,inactive
152,2291,exports,exports.names_hashed[14],True,0,-1,inactive
153,2290,exports,exports.names_hashed[13],True,0,-1,inactive
154,2289,exports,exports.names_hashed[12],True,0,-1,inactive
155,2288,exports,exports.names_hashed[11],True,0,-1,inactive
156,2287,exports,exports.names_hashed[10],True,0,-1,inactive
157,2286,exports,exports.names_hashed[9],True,0,-1,inactive
158,2285,exports,exports.names_hashed[8],True,0,-1,inactive
159,2283,exports,exports.names_hashed[6],True,0,-1,inactive
160,2281,exports,exports.names_hashed[4],True,0,-1,inactive
161,2277,exports,exports.names_hashed[0],True,0,-1,inactive
162,2273,imports,imports.lib_func_hashed[1021],True,0,-1,inactive
163,2272,imports,imports.lib_func_hashed[1020],True,0,-1,inactive
164,2269,imports,imports.lib_func_hashed[1017],True,0,-1,inactive
165,2268,imports,imports.lib_func_hashed[1016],True,0,-1,inactive
166,2266,imports,imports.lib_func_hashed[1014],True,0,-1,inactive
167,2265,imports,imports.lib_func_hashed[1013],True,0,-1,inactive
168,2262,imports,imports.lib_func_hashed[1010],True,0,-1,inactive
169,2260,imports,imports.lib_func_hashed[1008],True,0,-1,inactive
170,2259,imports,imports.lib_func_hashed[1007],True,0,-1,inactive
171,2258,imports,imports.lib_func_hashed[1006],True,0,-1,inactive
172,2256,imports,imports.lib_func_hashed[1004],True,0,-1,inactive
173,2255,imports,imports.lib_func_hashed[1003],True,0,-1,inactive
174,2252,imports,imports.lib_func_hashed[1000],True,0,-1,inactive
175,2250,imports,imports.lib_func_hashed[998],True,0,-1,inactive
176,2248,imports,imports.lib_func_hashed[996],True,0,-1,inactive
177,2244,imports,imports.lib_func_hashed[992],True,0,-1,inactive
178,2243,imports,imports.lib_func_hashed[991],True,0,-1,inactive
179,2238,imports,imports.lib_func_hashed[986],True,0,-1,inactive
180,2236,imports,imports.lib_func_hashed[984],True,0,-1,inactive
