rank,index,block,field,hashed,mi_score
189,2563,pefilewarnings,pewarn:...VirtualAddress is beyond 0x10000000,False,0.0008285266207153086
190,809,section,section.sizes_hashed[28],True,0.0008340737817507105
191,2433,datadirectories,datadir.COM_DESCRIPTOR.size,False,0.0008553818316379136
192,864,section,section.vsize_hashed[33],True,0.0008669261660154692
193,853,section,section.vsize_hashed[22],True,0.0008721572734899929
194,2534,pefilewarnings,pewarn:Invalid type 0x...,False,0.0008802575027944126
195,2512,pefilewarnings,pewarn:Export directory contains more than 10 repeated entries...,False,0.0008848491185911023
196,1152,imports,imports.libraries_hashed[156],True,0.0009001245013979808
197,678,strings,string_count_post,False,0.0009282564530703752
198,1041,imports,imports.libraries_hashed[45],True,0.0009411972107160604
199,1046,imports,imports.libraries_hashed[50],True,0.0009413568556573271
200,2549,pefilewarnings,pewarn:Suspicious value found parsing section...,False,0.0009425326634786568
201,2554,pefilewarnings,pewarn:Too many sections...,False,0.0009463303329109163
202,2492,pefilewarnings,pewarn:Error parsing the Delay import directory at RVA...,False,0.0009491746799166201
203,750,header,optional.dll_characteristics:WDM_DRIVER,False,0.0009524951303734319
204,670,strings,string_count_javascript,False,0.0009585137306380442
205,2538,pefilewarnings,pewarn:Possibly corrupt file. AddressOfEntryPoint lies outside the file...,False,0.0009838143475773276
206,2564,pefilewarnings,pewarn:...symbol entries. Assuming corrupt.,False,0.000993457153002364
207,1228,imports,imports.libraries_hashed[232],True,0.000997350859645918
208,1130,imports,imports.libraries_hashed[134],True,0.0010036473636851895
209,1226,imports,imports.libraries_hashed[230],True,0.0010142192214390722
210,807,section,section.sizes_hashed[26],True,0.0010158992894360175
211,1299,imports,imports.lib_func_hashed[47],True,0.0010233646601416346
212,679,strings,string_count_powershell,False,0.0010438222645503537
213,733,header,coff.characteristics:BYTES_REVERSED_LO,False,0.0010479460384427153
214,1169,imports,imports.libraries_hashed[173],True,0.0010713933386685692
215,1216,imports,imports.libraries_hashed[220],True,0.0010823408142484059
216,1042,imports,imports.libraries_hashed[46],True,0.001099142892794891
217,732,header,coff.characteristics:16BIT_MACHINE,False,0.0010993929405429537
218,1225,imports,imports.libraries_hashed[229],True,0.0010995606249606382
219,1155,imports,imports.libraries_hashed[159],True,0.0011010917244389518
220,1108,imports,imports.libraries_hashed[112],True,0.001113233992054985
221,624,strings,string_count_/dev/,False,0.001126431448499332
222,1015,imports,imports.libraries_hashed[19],True,0.0011363691730452707
223,827,section,section.sizes_hashed[46],True,0.0011388986670848311
224,1035,imports,imports.libraries_hashed[39],True,0.0011436751314335414
225,1148,imports,imports.libraries_hashed[152],True,0.001148677557131883
226,738,header,coff.characteristics:SYSTEM,False,0.001158075707573536
227,1079,imports,imports.libraries_hashed[83],True,0.0011624014922226866
228,1002,imports,imports.libraries_hashed[6],True,0.0011637764479075496
229,857,section,section.vsize_hashed[26],True,0.001164200547331129
230,1076,imports,imports.libraries_hashed[80],True,0.0011683223620686523
231,834,section,section.vsize_hashed[3],True,0.0011698116817517867
232,818,section,section.sizes_hashed[37],True,0.001175077849789652
233,672,strings,string_count_mac_addr,False,0.0011830748710750516
234,780,section,section.vsize_ratio_min,False,0.0011915862636588948
235,837,section,section.vsize_hashed[6],True,0.0012030672488516636
236,1062,imports,imports.libraries_hashed[66],True,0.001207003550882657
237,851,section,section.vsize_hashed[20],True,0.0012349160783295954
238,2435,datadirectories,datadir.RESERVED.size,False,0.0012431620389323772
239,1484,imports,imports.lib_func_hashed[232],True,0.0012591468855545074
240,1212,imports,imports.libraries_hashed[216],True,0.001272102316828727
241,1193,imports,imports.libraries_hashed[197],True,0.0012995943814031463
242,1123,imports,imports.libraries_hashed[127],True,0.0013014423973218836
243,852,section,section.vsize_hashed[21],True,0.0013015277927324043
244,2551,pefilewarnings,pewarn:Too many warnings parsing section. Aborting...,False,0.0013125903267448003
245,730,header,coff.characteristics:AGGRESIVE_WS_TRIM,False,0.0013241292158305829
246,999,imports,imports.libraries_hashed[3],True,0.001330996112298477
247,1209,imports,imports.libraries_hashed[213],True,0.0013384279533716903
248,657,strings,string_count_file_path,False,0.0013398845632335288
249,1161,imports,imports.libraries_hashed[165],True,0.0013546849344616696
250,1075,imports,imports.libraries_hashed[79],True,0.001357070815021899
251,1145,imports,imports.libraries_hashed[149],True,0.0013650346383988765
252,1517,imports,imports.lib_func_hashed[265],True,0.0013723858360981112
253,1248,imports,imports.libraries_hashed[252],True,0.001405148422859659
254,740,header,coff.characteristics:UP_SYSTEM_ONLY,False,0.0014073989333411863
255,868,section,section.vsize_hashed[37],True,0.0014180416563003284
256,1224,imports,imports.libraries_hashed[228],True,0.0014207479680135027
257,1227,imports,imports.libraries_hashed[231],True,0.001427289718771485
